period,mr_id,project_id,reviewer_id,created_at,resolvable,resolved
Post-AI,316,170,185,2026-05-09T06:41:04.458Z,True,True
Post-AI,316,170,185,2026-05-08T16:35:01.888Z,True,True
Post-AI,316,170,185,2026-05-08T16:23:40.891Z,True,True
Post-AI,316,170,185,2026-05-08T16:23:25.048Z,True,True
Post-AI,316,170,185,2026-05-08T16:22:01.094Z,True,True
Post-AI,316,170,185,2026-05-08T16:20:39.129Z,True,True
Post-AI,316,170,185,2026-05-08T16:20:12.969Z,True,True
Post-AI,316,170,185,2026-05-08T16:18:50.107Z,True,True
Post-AI,316,170,4,2026-05-07T10:52:29.742Z,True,True
Post-AI,316,170,4,2026-05-07T10:46:11.396Z,True,True
Post-AI,316,170,4,2026-05-07T10:41:38.687Z,True,True
Post-AI,316,170,181,2026-05-06T21:42:15.170Z,True,True
Post-AI,316,170,222,2026-05-06T19:00:48.796Z,True,True
Post-AI,316,170,222,2026-05-06T19:00:48.605Z,True,True
Post-AI,312,170,7,2026-05-05T02:44:45.281Z,True,True
Post-AI,312,170,222,2026-05-04T17:02:49.944Z,True,True
Post-AI,309,170,185,2026-05-05T16:40:26.332Z,True,False
Post-AI,309,170,222,2026-05-05T16:12:34.223Z,True,False
Post-AI,306,170,11,2026-04-30T14:43:35.268Z,True,True
Post-AI,306,170,11,2026-04-30T13:28:49.852Z,True,True
Post-AI,306,170,181,2026-04-30T13:23:20.599Z,True,True
Post-AI,306,170,11,2026-04-30T13:17:55.149Z,True,True
Post-AI,306,170,181,2026-04-30T12:52:08.789Z,True,True
Post-AI,306,170,181,2026-04-30T12:47:33.603Z,True,True
Post-AI,305,170,11,2026-04-29T19:41:17.818Z,False,False
Post-AI,303,170,185,2026-04-29T01:09:47.426Z,False,False
Post-AI,303,170,136,2026-04-29T01:09:34.174Z,False,False
Post-AI,302,170,181,2026-04-29T15:40:38.574Z,True,True
Post-AI,302,170,222,2026-04-29T15:17:23.762Z,True,True
Post-AI,302,170,181,2026-04-28T19:43:12.954Z,True,True
Post-AI,301,170,222,2026-04-29T15:10:56.500Z,True,False
Post-AI,301,170,11,2026-04-29T12:53:30.555Z,True,True
Post-AI,301,170,185,2026-04-28T23:51:36.513Z,True,True
Post-AI,301,170,11,2026-04-28T16:58:45.040Z,True,True
Post-AI,301,170,181,2026-04-28T16:53:50.561Z,True,True
Post-AI,300,170,181,2026-06-01T14:41:48.942Z,False,False
Post-AI,300,170,222,2026-06-01T14:33:17.683Z,False,False
Post-AI,300,170,12,2026-06-01T14:15:05.634Z,True,True
Post-AI,300,170,222,2026-05-29T20:51:08.428Z,True,True
Post-AI,300,170,12,2026-05-29T15:38:57.752Z,True,True
Post-AI,300,170,12,2026-05-29T15:37:52.421Z,True,True
Post-AI,300,170,12,2026-05-29T15:37:19.895Z,True,True
Post-AI,300,170,12,2026-05-29T15:36:20.406Z,True,True
Post-AI,300,170,12,2026-05-29T15:35:45.764Z,True,True
Post-AI,300,170,12,2026-05-29T12:14:25.790Z,True,True
Post-AI,300,170,12,2026-05-29T12:14:09.206Z,True,True
Post-AI,300,170,12,2026-05-29T12:08:53.110Z,True,True
Post-AI,300,170,185,2026-05-29T08:12:27.565Z,True,True
Post-AI,300,170,185,2026-05-29T08:10:59.858Z,True,True
Post-AI,300,170,185,2026-05-29T08:07:54.908Z,True,True
Post-AI,300,170,185,2026-05-29T08:04:29.974Z,True,True
Post-AI,300,170,185,2026-05-29T08:04:07.315Z,True,True
Post-AI,300,170,185,2026-05-29T08:03:04.621Z,True,True
Post-AI,300,170,12,2026-05-29T05:57:35.068Z,True,True
Post-AI,300,170,12,2026-05-29T05:57:07.141Z,True,True
Post-AI,300,170,12,2026-05-29T05:55:27.723Z,True,True
Post-AI,300,170,12,2026-05-29T05:53:23.284Z,True,True
Post-AI,300,170,12,2026-05-29T05:52:28.775Z,True,True
Post-AI,300,170,12,2026-05-29T05:51:04.672Z,True,True
Post-AI,300,170,12,2026-05-29T05:42:30.832Z,True,True
Post-AI,300,170,12,2026-05-29T05:35:50.350Z,True,True
Post-AI,300,170,12,2026-05-29T05:35:03.339Z,True,True
Post-AI,300,170,222,2026-05-28T14:31:47.389Z,True,True
Post-AI,300,170,222,2026-05-28T14:31:46.737Z,True,True
Post-AI,300,170,222,2026-05-28T14:24:07.348Z,True,True
Post-AI,300,170,222,2026-05-28T14:24:07.199Z,True,True
Post-AI,300,170,222,2026-05-28T14:24:06.702Z,True,True
Post-AI,300,170,222,2026-05-28T14:15:35.138Z,True,True
Post-AI,300,170,222,2026-05-28T14:15:34.881Z,True,True
Post-AI,300,170,222,2026-05-28T14:15:33.182Z,True,True
Post-AI,300,170,185,2026-05-27T22:51:37.088Z,True,True
Post-AI,300,170,185,2026-05-27T22:50:44.932Z,True,True
Post-AI,300,170,185,2026-05-27T22:26:20.928Z,True,True
Post-AI,300,170,185,2026-05-27T22:00:45.720Z,True,True
Post-AI,300,170,12,2026-05-27T18:31:39.676Z,True,True
Post-AI,300,170,12,2026-05-27T18:28:35.160Z,True,True
Post-AI,300,170,12,2026-05-27T18:27:25.130Z,True,True
Post-AI,300,170,12,2026-05-27T18:26:42.611Z,True,True
Post-AI,300,170,12,2026-05-27T18:25:46.155Z,True,True
Post-AI,300,170,185,2026-05-27T08:15:02.650Z,True,True
Post-AI,300,170,185,2026-05-27T08:06:28.191Z,True,True
Post-AI,300,170,185,2026-05-27T07:57:44.699Z,True,True
Post-AI,300,170,185,2026-05-27T07:57:35.926Z,True,True
Post-AI,300,170,185,2026-05-27T07:56:53.712Z,True,True
Post-AI,300,170,12,2026-05-27T06:22:39.651Z,True,True
Post-AI,300,170,12,2026-05-27T06:21:26.072Z,True,True
Post-AI,300,170,222,2026-05-27T06:08:41.670Z,True,True
Post-AI,300,170,222,2026-05-27T06:04:02.587Z,True,True
Post-AI,300,170,12,2026-05-27T05:28:21.590Z,True,True
Post-AI,300,170,12,2026-05-27T05:27:34.609Z,True,True
Post-AI,300,170,12,2026-05-27T05:26:57.209Z,True,True
Post-AI,300,170,12,2026-05-27T05:25:59.518Z,True,True
Post-AI,300,170,12,2026-05-27T05:23:42.648Z,True,True
Post-AI,300,170,12,2026-05-27T05:22:19.220Z,True,True
Post-AI,300,170,12,2026-05-27T05:18:18.117Z,True,True
Post-AI,300,170,12,2026-05-27T05:16:11.884Z,True,True
Post-AI,300,170,12,2026-05-27T05:10:41.134Z,True,True
Post-AI,300,170,222,2026-05-27T04:30:47.281Z,True,True
Post-AI,300,170,222,2026-05-27T04:30:45.567Z,True,True
Post-AI,300,170,12,2026-05-27T04:28:47.175Z,True,True
Post-AI,300,170,12,2026-05-27T04:27:51.879Z,True,True
Post-AI,300,170,12,2026-05-27T04:26:56.296Z,True,True
Post-AI,300,170,12,2026-05-27T04:26:34.318Z,True,True
Post-AI,300,170,12,2026-05-27T04:24:46.664Z,True,True
Post-AI,300,170,12,2026-05-27T04:23:35.135Z,True,True
Post-AI,300,170,12,2026-05-27T04:21:04.469Z,True,True
Post-AI,300,170,12,2026-05-27T04:20:40.946Z,True,True
Post-AI,300,170,12,2026-05-27T03:20:27.333Z,True,True
Post-AI,300,170,12,2026-05-27T03:16:25.855Z,True,True
Post-AI,300,170,12,2026-05-27T03:15:57.504Z,True,True
Post-AI,300,170,185,2026-05-23T02:40:59.549Z,True,True
Post-AI,300,170,185,2026-05-23T02:37:48.367Z,True,True
Post-AI,300,170,185,2026-05-23T02:34:02.190Z,True,True
Post-AI,300,170,185,2026-05-23T02:31:47.349Z,True,True
Post-AI,300,170,185,2026-05-23T02:29:24.821Z,True,True
Post-AI,300,170,185,2026-05-23T02:25:04.517Z,True,True
Post-AI,300,170,185,2026-05-23T01:23:49.147Z,True,True
Post-AI,300,170,185,2026-05-23T01:21:09.673Z,True,True
Post-AI,300,170,185,2026-05-23T01:19:11.526Z,True,True
Post-AI,300,170,185,2026-05-12T07:09:57.598Z,True,True
Post-AI,300,170,185,2026-05-12T07:09:11.636Z,True,True
Post-AI,300,170,185,2026-05-12T07:07:05.310Z,True,True
Post-AI,300,170,185,2026-05-12T06:57:44.847Z,True,True
Post-AI,300,170,185,2026-05-12T06:56:20.881Z,True,True
Post-AI,300,170,185,2026-05-12T06:55:49.833Z,True,True
Post-AI,300,170,185,2026-05-12T06:40:31.793Z,True,True
Post-AI,300,170,185,2026-05-12T06:38:29.581Z,True,True
Post-AI,300,170,11,2026-04-30T14:24:33.921Z,True,True
Post-AI,300,170,185,2026-04-30T06:34:16.024Z,True,True
Post-AI,300,170,185,2026-04-30T06:30:24.040Z,False,False
